Nome,Simbolo,Data,Maximo,Minimo,Abertura,Fechamento,Volume,Cap. de Mercado
Ethereum,ETH,2016-09-26,13.169599533081056,12.74020004272461,13.169599533081056,12.823100090026855,7213070.0,1081884909.32
Ethereum,ETH,2016-09-27,13.211400032043455,12.855899810791016,12.863900184631348,13.098299980163574,6831070.0,1105565482.95
Ethereum,ETH,2016-09-28,13.483799934387209,13.081299781799316,13.107399940490724,13.274800300598145,10239000.0,1120893441.39
Ethereum,ETH,2016-09-29,13.336099624633787,13.073399543762209,13.276800155639648,13.073399543762209,5990630.0,1104310043.24
Ethereum,ETH,2016-09-30,13.342700004577637,13.024499893188477,13.076000213623049,13.22480010986328,5950840.0,1117517388.26
Ethereum,ETH,2016-10-01,13.309100151062012,13.045599937438965,13.203200340270996,13.172699928283691,6331160.0,1113568557.26
Ethereum,ETH,2016-10-02,13.295900344848633,13.143099784851074,13.18019962310791,13.199700355529783,4079660.0,1116323114.84
Ethereum,ETH,2016-10-03,13.485199928283691,13.187199592590332,13.20300006866455,13.452400207519531,7458320.0,1138142255.11
Ethereum,ETH,2016-10-04,13.531000137329102,13.21150016784668,13.450499534606934,13.277000427246094,8348280.0,1123727868.31
Ethereum,ETH,2016-10-05,13.346699714660645,13.035699844360352,13.28339958190918,13.035699844360352,9881370.0,1103736599.55
Ethereum,ETH,2016-10-06,13.143600463867188,12.686800003051758,13.026300430297852,12.854299545288086,12044800.0,1088798918.13
Ethereum,ETH,2016-10-07,12.99020004272461,12.534700393676758,12.85159969329834,12.667099952697754,8933050.0,1073405274.53
Ethereum,ETH,2016-10-08,12.68690013885498,12.045499801635742,12.673999786376951,12.21909999847412,11611200.0,1035883227.82
Ethereum,ETH,2016-10-09,12.357099533081056,11.979499816894531,12.21560001373291,12.05370044708252,7208480.0,1022264081.85
Ethereum,ETH,2016-10-10,12.062199592590332,11.62399959564209,12.06070041656494,11.755499839782717,10809200.0,997363894.952
Ethereum,ETH,2016-10-11,12.160900115966797,11.751299858093262,11.762399673461914,11.785699844360352,11727700.0,1000308761.3
Ethereum,ETH,2016-10-12,12.071999549865724,11.707200050354004,11.784600257873535,11.933500289916992,9694640.0,1013248316.86
Ethereum,ETH,2016-10-13,12.131199836730955,11.783699989318848,11.909199714660645,11.963000297546388,8665190.0,1016169767.2
Ethereum,ETH,2016-10-14,12.074000358581545,11.895899772644045,11.989100456237791,11.938199996948242,4333510.0,1014456176.48
Ethereum,ETH,2016-10-15,11.99619960784912,11.776800155639648,11.936100006103516,11.983400344848633,4991840.0,1018682987.67
Ethereum,ETH,2016-10-16,12.009699821472168,11.933199882507324,11.98169994354248,11.951600074768066,3617280.0,1016373308.18
Ethereum,ETH,2016-10-17,12.033900260925291,11.861300468444824,11.955599784851074,12.005000114440918,5724440.0,1021302744.06
